canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
Dread,liquipedia_player_infobox.id,Dread,https://liquipedia.net/dota2/Dread,resolved_with_player_page_and_ids,high,89782335,76561198050048063 (derived),Dread,Dread | Dreadisback | YuraSmolensk43,Андрей Голубев,Andrey Golubev,3,The International 2011 | Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,The International 2011
dubas,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,dubas,,,,2,Dota2 Star Championship | joinDOTA Masters I,observed_name_only,primary_with_supplemental,joinDOTA Masters I,Dota2 Star Championship
Dutch Freak,liquipedia_player_infobox.id,Dutch Freak,https://liquipedia.net/dota2/Dutch_Freak,resolved_with_player_page_and_ids,high,86767617,76561198047033345 (derived),Dutch Freak,Dutch Freak,Hugo Bos,,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
Ecela,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Ecela,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
EGM,liquipedia_player_infobox.id,EGM,https://liquipedia.net/dota2/EGM,resolved_with_player_page_and_ids,high,3916428,76561197964182156 (derived),EGM,EGM | Doney | Doni,Jerry Lundkvist,,2,The Defense Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | D2E Challenge,
eNtyck,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86955220,76561198047220948 (derived),eNtyck,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
eon,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,eon,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
eQual,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,eQual,,,,3,Electronic Sports World Cup 2011 | D2E Challenge | joinDOTA Masters I,observed_name_only,primary_only,Electronic Sports World Cup 2011 | D2E Challenge | joinDOTA Masters I,
ET,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86815089,76561198047080817 (derived),ET,,,,1,The Defense Season 1,teamcard_link | observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Evilsnear,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86736858,76561198047002586 (derived),Evilsnear,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Fear,liquipedia_player_infobox.id,Fear (Clinton Loomis),https://liquipedia.net/dota2/Fear_(Clinton_Loomis),resolved_with_player_page_and_ids,high,87177591,76561198047443319 (derived),Fear,Fear | FearDarkness | Fear (Clinton Loomis),Clinton Loomis,,3,The International 2011 | The Defense Season 1 | joinDOTA Masters I,player_page_infobox | teamcard_link | player_page_account_id,primary_with_supplemental,The Defense Season 1 | joinDOTA Masters I,The International 2011
Feimao,liquipedia_player_infobox.id,Feimao,https://liquipedia.net/dota2/Feimao,resolved_with_player_page_and_ids,high,85485252,76561198045750980 (derived),Lookball | sD,Feimao | MAWMAW | FeiMao | Lookball | sD,นพดล เผ่าพงษ์ประพันธ์,Noppadon Paopongprapun,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
FFFFFFY,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,FFFFFFY,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
Fire,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,11603325,76561197971869053 (derived),Fire,,,,1,The Defense Season 1,teamcard_link | observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Fishbone,liquipedia_player_infobox.id,Fishbone,https://liquipedia.net/dota2/Fishbone,resolved_with_player_page_and_ids,high,88522876,76561198048788604 (derived),Fishbone,Fishbone,Olle Sjöland Thulin,,2,The Defense Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | D2E Challenge,
Floxplox,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86714699,76561198046980427 (derived),Floxplox,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
FLUFFNSTUFF,liquipedia_player_infobox.id,FLUFFNSTUFF,https://liquipedia.net/dota2/FLUFFNSTUFF,resolved_with_player_page_and_ids,high,41470731,76561198001736459 (derived),FLUFFNSTUFF,FLUFFNSTUFF,Brian Lee,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
